"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"east midlands";"MMR";1;2005;0.7135;0.873;0.890248009204154;0.918355833935467;0.941187736173136
"east midlands";"MMR";1;2006;0.714625;0.886;0.900736837572735;0.908430693371563;0.921477519861524
"east midlands";"MMR";1;2007;0.710275;0.889;0.908084969479042;0.920711884053025;0.911790232031419
"east midlands";"MMR";1;2008;0.71185;0.898;0.91287980142372;0.923989749203942;0.924402590016188
"east midlands";"MMR";1;2009;0.706375;0.887;0.92392464638092;0.93007715285674;0.926928408967833
"east midlands";"MMR";1;2010;0.719875;0.9069143155;0.92005035933056;0.94259461966414;0.9332546357
"east midlands";"MMR";1;2011;0.730225;0.9160733277;0.93679861151998;0.9385529109216;0.9460441927
"east midlands";"MMR";1;2012;0.735175;0.9388698268;0.94562438730928;0.9523904181391;0.9512003872
"east midlands";"MMR";1;2013;0.732625;0.9504813845;0.95989453035073;0.95547641091312;0.9597320886
"east midlands";"MMR";1;2014;0.730675;0.9588586649;0.9652209048723;0.96941291328523;0.9661853501
"east midlands";"MMR";1;2015;0.7312;0.952830401;0.96907808749104;0.97339508480589;0.9700776397
"east midlands";"MMR";1;2016;0.7359037804375;0.9514225941;0.9663622197494;0.97182417817136;0.9750063768
"east midlands";"MMR";1;2017;0.734103212725;0.9457434145;0.96223010057064;0.9716898732564;0.9736544121
"east midlands";"MMR";1;2018;0.7299596699875;0.9409419006;0.95998175847832;0.9670322501849;0.97388832
"east midlands";"MMR";1;2019;0.731281704025;0.9298924533;0.95702934454488;0.9663083480787;0.9692215178
"east midlands";"MMR";2;2005;0;0;0;0;0.534141832703538
"east midlands";"MMR";2;2006;0;0;0;0;0.531002396697883
"east midlands";"MMR";2;2007;0;0;0;0;0.517855817651736
"east midlands";"MMR";2;2008;0;0;0;0;0.540456096600604
"east midlands";"MMR";2;2009;0;0;0;0;0.570038990577277
"east midlands";"MMR";2;2010;0;0;0;0;0.5821775256
"east midlands";"MMR";2;2011;0;0;0;0;0.589968091875
"east midlands";"MMR";2;2012;0;0;0;0;0.601292352375
"east midlands";"MMR";2;2013;0;0;0;0;0.612512843175
"east midlands";"MMR";2;2014;0;0;0;0;0.6230541039
"east midlands";"MMR";2;2015;0;0;0;0;0.624268702725
"east midlands";"MMR";2;2016;0;0;0;0;0.618536487375
"east midlands";"MMR";2;2017;0;0;0;0;0.605675449725
"east midlands";"MMR";2;2018;0;0;0;0;0.60755836575
"east midlands";"MMR";2;2019;0;0;0;0;0.603917489325
"east of england";"MMR";1;2005;0.701125;0.824;0.8353069290676;0.861262469370378;0.890361068238155
"east of england";"MMR";1;2006;0.706;0.853;0.848613089784504;0.845231206020865;0.862583610589886
"east of england";"MMR";1;2007;0.677125;0.866;0.872811652268011;0.857242323959418;0.847606697844785
"east of england";"MMR";1;2008;0.702925;0.852;0.88949537850832;0.879757524903647;0.859307832139583
"east of england";"MMR";1;2009;0.70795;0.849;0.88985747048712;0.8977327483368;0.881420100800474
"east of england";"MMR";1;2010;0.7186;0.8831687485;0.8952824836771;0.9031301225988;0.8997044592
"east of england";"MMR";1;2011;0.733225;0.8967070108;0.91463289982546;0.9131246946197;0.9063070872
"east of england";"MMR";1;2012;0.736075;0.9278549582;0.93343039580874;0.93480941088688;0.924538573
"east of england";"MMR";1;2013;0.736;0.9384636039;0.94124631267141;0.94704149550794;0.9415329691
"east of england";"MMR";1;2014;0.7327;0.9470632137;0.95606403834439;0.95159241790862;0.949875369
"east of england";"MMR";1;2015;0.72445;0.9486520054;0.96212531711277;0.96055720459973;0.9536621551
"east of england";"MMR";1;2016;0.7368174245125;0.9452344654;0.95962930341376;0.96869632590882;0.9648629356
"east of england";"MMR";1;2017;0.7313538188125;0.9481797987;0.95779009386106;0.96753197266928;0.9688576044
"east of england";"MMR";1;2018;0.7273723719625;0.9336101835;0.96087990449355;0.96017678202874;0.9710455142
"east of england";"MMR";1;2019;0.7288801464625;0.9229929919;0.95370338842511;0.96329405622795;0.9648618352
"east of england";"MMR";2;2005;0;0;0;0;0.51052990973294
"east of england";"MMR";2;2006;0;0;0;0;0.507416704773017
"east of england";"MMR";2;2007;0;0;0;0;0.493209929031625
"east of england";"MMR";2;2008;0;0;0;0;0.500376303155539
"east of england";"MMR";2;2009;0;0;0;0;0.525747109398162
"east of england";"MMR";2;2010;0;0;0;0;0.5652921909
"east of england";"MMR";2;2011;0;0;0;0;0.573891762
"east of england";"MMR";2;2012;0;0;0;0;0.591713730975
"east of england";"MMR";2;2013;0;0;0;0;0.607654973775
"east of england";"MMR";2;2014;0;0;0;0;0.614227615575
"east of england";"MMR";2;2015;0;0;0;0;0.620827043175
"east of england";"MMR";2;2016;0;0;0;0;0.620227863975
"east of england";"MMR";2;2017;0;0;0;0;0.61273495965
"east of england";"MMR";2;2018;0;0;0;0;0.613336739325
"east of england";"MMR";2;2019;0;0;0;0;0.60111835245
"london";"MMR";1;2005;0.660625;0.724;0.746634453089761;0.781250979318237;0.804770645192841
"london";"MMR";1;2006;0.665875;0.745;0.750127628432818;0.762623699819576;0.784903948336467
"london";"MMR";1;2007;0.6004;0.759;0.792814679551311;0.761531131480991;0.7667799954894
"london";"MMR";1;2008;0.66355;0.752;0.82936680265808;0.813683578747916;0.764495394347207
"london";"MMR";1;2009;0.66445;0.773;0.84210987355836;0.86007866197072;0.819108306806124
"london";"MMR";1;2010;0.6811;0.8289137731;0.86016625281656;0.88143867144124;0.8680620004
"london";"MMR";1;2011;0.6949;0.8475078546;0.88704713226251;0.88977115018307;0.8916619243
"london";"MMR";1;2012;0.6985;0.8708476138;0.89357368943976;0.90603104943036;0.9070194539
"london";"MMR";1;2013;0.698725;0.8813818968;0.90404661889909;0.90926667357054;0.9157966892
"london";"MMR";1;2014;0.6943;0.8846408509;0.908156040924;0.91322166699442;0.916427416
"london";"MMR";1;2015;0.6847;0.8829041686;0.90852893289008;0.91646092929184;0.9169765635
"london";"MMR";1;2016;0.703950024625;0.8738008173;0.91183146051183;0.9172701636244;0.920611412
"london";"MMR";1;2017;0.70428413185;0.860533399;0.901393041621;0.92048762328332;0.9210778277
"london";"MMR";1;2018;0.696226801675;0.8614243516;0.893445896887;0.90820712136636;0.9244603989
"london";"MMR";1;2019;0.698433561625;0.8399381378;0.886823901925;0.90157385288692;0.9137895482
"london";"MMR";2;2005;0;0;0;0;0.369164085677958
"london";"MMR";2;2006;0;0;0;0;0.327194473963868
"london";"MMR";2;2007;0;0;0;0;0.327316052097429
"london";"MMR";2;2008;0;0;0;0;0.310697665414844
"london";"MMR";2;2009;0;0;0;0;0.412523021828104
"london";"MMR";2;2010;0;0;0;0;0.48150071025
"london";"MMR";2;2011;0;0;0;0;0.514653691425
"london";"MMR";2;2012;0;0;0;0;0.541610106825
"london";"MMR";2;2013;0;0;0;0;0.545763370275
"london";"MMR";2;2014;0;0;0;0;0.54527014815
"london";"MMR";2;2015;0;0;0;0;0.548261842575
"london";"MMR";2;2016;0;0;0;0;0.5523793266
"london";"MMR";2;2017;0;0;0;0;0.536088010875
"london";"MMR";2;2018;0;0;0;0;0.52364195805
"london";"MMR";2;2019;0;0;0;0;0.51232873845
"north east";"MMR";1;2005;0.712;0.862;0.850908195841046;0.912646311613048;0.933958854203872
"north east";"MMR";1;2006;0.718;0.882;0.869589898487141;0.885891846655083;0.923126331128797
"north east";"MMR";1;2007;0.708475;0.898;0.889064603274317;0.914531258850227;0.894523854493257
"north east";"MMR";1;2008;0.71065;0.895;0.90433292757062;0.930895581924587;0.925620272314675
"north east";"MMR";1;2009;0.72175;0.891;0.90201720388178;0.94183150289238;0.941217127194607
"north east";"MMR";1;2010;0.717175;0.921342331;0.93107456539164;0.94356752091522;0.9510840534
"north east";"MMR";1;2011;0.731875;0.9243420779;0.9481373578348;0.95561339434371;0.9538198146
"north east";"MMR";1;2012;0.736375;0.9401409756;0.9512418392429;0.96459896733312;0.9630247401
"north east";"MMR";1;2013;0.735475;0.950898192;0.955392533395;0.9748468846568;0.9719467254
"north east";"MMR";1;2014;0.738175;0.9649970777;0.968433120411;0.9694586452825;0.9774826574
"north east";"MMR";1;2015;0.741025;0.9616824849;0.97463820126324;0.9794679215136;0.9755274206
"north east";"MMR";1;2016;0.740796567325;0.9601977093;0.97396747706328;0.98317508224242;0.9830134455
"north east";"MMR";1;2017;0.739522712425;0.9587908462;0.96870653958291;0.97912182379152;0.9854839531
"north east";"MMR";1;2018;0.7395284392375;0.9553938998;0.96908478009997;0.97417615677783;0.9816450981
"north east";"MMR";1;2019;0.74164625875;0.9554091713;0.9684376262717;0.97570189149961;0.976303767
"north east";"MMR";2;2005;0;0;0;0;0.543096649760697
"north east";"MMR";2;2006;0;0;0;0;0.540016814258491
"north east";"MMR";2;2007;0;0;0;0;0.540186982963774
"north east";"MMR";2;2008;0;0;0;0;0.558267776096823
"north east";"MMR";2;2009;0;0;0;0;0.578602859471072
"north east";"MMR";2;2010;0;0;0;0;0.60754445475
"north east";"MMR";2;2011;0;0;0;0;0.6051000219
"north east";"MMR";2;2012;0;0;0;0;0.61441581165
"north east";"MMR";2;2013;0;0;0;0;0.627512517525
"north east";"MMR";2;2014;0;0;0;0;0.636871664925
"north east";"MMR";2;2015;0;0;0;0;0.6422763054
"north east";"MMR";2;2016;0;0;0;0;0.646724335725
"north east";"MMR";2;2017;0;0;0;0;0.633215104425
"north east";"MMR";2;2018;0;0;0;0;0.628947047325
"north east";"MMR";2;2019;0;0;0;0;0.625730029425
"north west";"MMR";1;2005;0.708625;0.85;0.875689163250584;0.897088738308528;0.920775926759718
"north west";"MMR";1;2006;0.713875;0.873;0.889585469061666;0.892209993210269;0.906903357385344
"north west";"MMR";1;2007;0.663625;0.887;0.909061484718264;0.906937533868573;0.903273923191173
"north west";"MMR";1;2008;0.693175;0.877;0.92150996213304;0.924868831067748;0.91855813831255
"north west";"MMR";1;2009;0.695275;0.882;0.92090333057678;0.9366372073978;0.935454944091208
"north west";"MMR";1;2010;0.707575;0.9213701655;0.9235854877065;0.94014810537585;0.9467678596
"north west";"MMR";1;2011;0.720175;0.9218587236;0.947353724598;0.9478977247425;0.9530362497
"north west";"MMR";1;2012;0.724525;0.9438245374;0.94824331543025;0.9627135348792;0.960124155
"north west";"MMR";1;2013;0.721975;0.9591660682;0.96069791875714;0.96376648186025;0.9693545775
